"","unique_project_names","latitudes","longitudes"
"266","CASA AROMA","1.3136162","103.9061031"
"267","WANDERVALE","1.3837272","103.7498778"
"268","THE RAINFOREST","1.3838517","103.7487146"
"269","MI CASA","1.3842606","103.7480374"
"270","INZ RESIDENCE","1.3740252","103.7397151"
"271","SOL ACRES","1.3764554","103.750825"
"272","NORTHVALE","1.3868785","103.7448363"
"273","THE WARREN","1.3863258","103.7428838"
"274","YEW MEI GREEN","1.3955809","103.751586"
"275","YEWTEE RESIDENCES","1.396788","103.746565"
"276","REGENT GROVE","1.3998498","103.7493119"
"277","NICON GARDENS","1.377443","103.7579109"
"278","WINDERMERE","1.3978489","103.7510174"
"279","THE QUINTET","1.352083","103.819836"
"280","HILLVIEW GARDEN ESTATE","1.3576165","103.7583548"
"281","MANDARIN PARK","1.3067857","103.9229473"
"282","MEADOWLODGE","1.3416894","103.7733569"
"283","BANYAN CONDOMINIUM","1.2780251","103.7883466"
"284","ORCHARD TOWERS","1.3072293","103.8293323"
"285","CLAYMORE PLAZA","1.3070143","103.8314018"
"286","THE CLAYMORE","1.3084148","103.8314185"
"287","THE TATE RESIDENCES","1.3080964","103.8303685"
"288","CAVENAGH HOUSE","1.3079768","103.8407621"
"289","THE CLEMENT CANOPY","1.3072306","103.7686049"
"290","EMERALD GARDEN","1.282082","103.8467658"
"291","CLUNY PARK RESIDENCE","1.3220121","103.8139211"
"292","COMMONWEALTH TOWERS","1.2960092","103.80554"
"293","JEWEL @ BUANGKOK","1.3812057","103.892201"
"294","ESPARINA RESIDENCES","1.3812474","103.8911641"
"295","THE QUARTZ","1.3808135","103.893851"
"296","THE LUXURIE","1.3890435","103.8963965"
"297","THE CORNWALL","1.3121653","103.8004299"
"298","CORONATION GROVE","1.3227279","103.8022501"
"299","ASTRID MEADOWS","1.3193291","103.7946171"
"300","LAKEHOLMZ","1.3423034","103.7166695"
"301","PARC VISTA","1.344279","103.7174016"
"302","TURQUOISE","1.352083","103.819836"
"303","MARINA COLLECTION","1.2442761","103.8398767"
"304","SEVEN PALMS SENTOSA COVE","1.2398652","103.8311367"
"305","SEASCAPE","1.239592","103.8378132"
"306","CAPE ROYALE","1.2416267","103.8401587"
"307","CRAIG PLACE","1.278053","103.842299"
"308","CRANE COURT","1.3120877","103.8982056"
"309","CUSCADEN RESIDENCES","1.3047839","103.8266156"
"310","THE TOMLINSON","1.3043662","103.8259196"
"311","FOUR SEASONS PARK","1.3035767","103.8279255"
"312","THE BOULEVARD RESIDENCE","1.303788","103.8288313"
"313","BOULEVARD VUE","1.3030769","103.828996"
"314","ANGULLIA PARK RESIDENCES @ ORCHARD","1.3036264","103.8292454"
"315","THE SKYWOODS","1.365285","103.7715668"
"316","THE DAIRY FARM","1.3660756","103.7697939"
"317","CLYDESWOOD","1.3442297","103.8668958"
"318","DAISY SUITES","1.3438215","103.8684097"
"319","DAISY LODGE","1.3444519","103.8674158"
"320","DAKOTA RESIDENCES","1.3064686","103.8868167"
"321","WATERBANK AT DAKOTA","1.3067767","103.8879948"
"322","D' DALVEY","1.3209092","103.821647"
"323","DLV.","1.3155947","103.8251964"
"324","DOMAIN 21","1.2917798","103.8255674"
"325","THE INTERLACE","1.2828268","103.8032375"
"326","ADRIA","1.352083","103.819836"
"327","PASADENA","1.352083","103.819836"
"328","6 DERBYSHIRE","1.3158526","103.8460141"
"329","DERBYSHIRE HEIGHTS","1.352083","103.819836"
"330","DEVONSHIRE RESIDENCES","1.2989615","103.8373393"
"331","DEVONSHIRE 12","1.2980649","103.8379775"
"332","THE SUITES AT CENTRAL","1.2985564","103.8368045"
"333","ONE DEVONSHIRE","1.2970632","103.8374719"
"334","THE BEAUMONT","1.2991836","103.8362911"
"335","THE ABODE AT DEVONSHIRE","1.2977103","103.8377926"
"336","THE METZ","1.2995315","103.8368582"
"337","ILLUMINAIRE ON DEVONSHIRE","1.2989725","103.8367923"
"338","VOGX","1.3138957","103.8504267"
"339","HERITAGE VIEW","1.304569","103.783461"
"340","DOVER PARKVIEW","1.3057328","103.7838192"
"341","THE ARC AT DRAYCOTT","1.3092004","103.8308296"
"342","J C DRAYCOTT","1.309816","103.8308873"
"343","ONE DRAYCOTT","1.3100252","103.831154"
"344","DRAYCOTT EIGHT","1.3109218","103.832083"
"345","THE DRAYCOTT","1.3117312","103.8311448"
"346","DUBLIN ROAD FLATS","1.2982785","103.8401188"
"347","DUCHESS CREST","1.3243599","103.8034696"
"348","DUCHESS RESIDENCES","1.3241419","103.8017416"
"349","CASABELLA","1.3239046","103.7995747"
"350","THE TRESOR","1.3238502","103.806987"
"351","DUCHESS MANOR","1.3245004","103.8071034"
"352","ONE DUCHESS","1.3249472","103.8084208"
"353","DUKES RESIDENCE","1.3215106","103.8113969"
"354","DUKU APARTMENTS","1.352083","103.819836"
"355","THE LUSH","1.3091077","103.9050239"
"356","AURA 83","1.3106033","103.9063745"
"357","CANNAVILLE","1.3093211","103.9052873"
"358","QUEENS PEAK","1.2948546","103.8067587"
"359","THE BLOSSOMVALE","1.3373425","103.7823486"
"360","GARDENVISTA","1.3382233","103.7801863"
"361","DUNEARN 386","1.3241517","103.8119354"
"362","DUNEARN SUITES","1.3247179","103.8107191"
"363","JARDIN","1.3376729","103.780139"
"364","DUNEARN LODGE","1.3249354","103.8102922"
"365","D-MANSIONS","1.3087777","103.8950926"
"366","PARADISE PALMS","1.3098516","103.8953523"
"367","QUESTA @ DUNMAN","1.3098261","103.8966328"
"368","FORTUNE JADE","1.3098508","103.8949968"
"369","CASERO @ DUNMAN","1.3096573","103.8937965"
"370","DUNMAN REGENCY","1.3095638","103.893429"
"371","DUNMAN PLACE","1.3097915","103.8956483"
"372","HERITAGE EAST","1.3092393","103.9125761"
"373","448@EAST COAST","1.3088897","103.9134222"
"374","MODA","1.352083","103.819836"
"375","COASTARINA","1.3097002","103.9183626"
"376","THE ODEON KATONG","1.3046976","103.901881"
"377","AURALIS","1.3100056","103.9161119"
