"","X.2","X.1","Address","Project.Name","Street.Name","X","Resale.Price","Sale.Month","Type.of.Area","Area.in.SQM","Unit.Price.in.PSM","Property.Type","Postal.District","Market.Segment","Floor.Level","Type.of.Housing","No.of.Bedrooms","No.of.Multi.Purpose.Room","No.of.Bathrooms","No.of.Kitchens","No.of.Living.Rooms","Lease.Commence.Year","Remaining.Lease.in.Years","Resale_Price_Category","Remaining_Lease_Category","lon","lat","location"
"87010",87010,87010,"Block 88, DAWSON RD, Singapore","HDB","DAWSON RD",83183,880000,"2023-04-01","Non",83,10602.40964,"Premium Apartment HDB",3,"Rest of Central Region","11 to 15","Public Housing",4,0,2,1,1,2016,92.33333333,"800k-900k","70-100",103.8106115,1.2947656,"South"
"254",254,254,"183 LONGHAUS, UPPER THOMSON ROAD, Singapore","183 LONGHAUS","UPPER THOMSON ROAD",138397,1730000,"2022-12-01","Strata",100,17300,"Apartment",20,"Rest of Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,NA,NA,"1.5m-2m",NA,103.835561,1.3510245,"Central"
"112736",112736,112736,"ORCHID PARK CONDOMINIUM, YISHUN STREET 81, Singapore","ORCHID PARK CONDOMINIUM","YISHUN STREET 81",119434,1110000,"2024-02-01","Strata",112,9911,"Condominium",27,"Outside Central Region","01 to 05","Apartment & Condo",3,0,2,1,1,1991,66,"1m-1.25m","50-70",103.8351824,1.4124662,"North"
"52378",52378,52378,"Block 445A, BT BATOK WEST AVE 8, Singapore","HDB","BT BATOK WEST AVE 8",74246,720000,"2023-11-01","Non",112,6428.571429,"Improved HDB",23,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,2019,94.16666667,"700k-800k","70-100",103.739702,1.3554152,"West"
"48547",48547,48547,"Block 416, HOUGANG AVE 10, Singapore","HDB","HOUGANG AVE 10",69453,670000,"2024-01-01","Non",120,5583.333333,"Improved HDB",19,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,1985,60.75,"600k-700k","50-70",103.8918396,1.3730673,"East"
"32858",32858,32858,"Block 280A, SENGKANG EAST AVE, Singapore","HDB","SENGKANG EAST AVE",74708,728000,"2022-07-01","Non",112,6500,"Premium Apartment HDB",19,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,2015,92.16666667,"700k-800k","70-100",103.8934541,1.3866378,"East"
"12061",12061,12061,"Block 130A, CANBERRA CRES, Singapore","HDB","CANBERRA CRES",57068,585000,"2022-11-01","Non",93,6290.322581,"Model A HDB",27,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,2018,95,"500k-600k","70-100",103.8299021,1.4467709,"North"
"86856",86856,86856,"Block 879A, TAMPINES AVE 8, Singapore","HDB","TAMPINES AVE 8",70553,680888,"2023-10-01","Non",93,7321.376344,"Model A HDB",18,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,2017,92.66666667,"600k-700k","70-100",103.9305734,1.3527568,"East"
"105097",105097,105097,"L'VIV, NEWTON ROAD, Singapore","L'VIV","NEWTON ROAD",128633,1355000,"2023-01-01","Strata",57,23772,"Apartment",11,"Core Central Region","11 to 15","Apartment & Condo",1,0,1,1,1,NA,NA,"1.25m-1.5m",NA,103.840539,1.3153884,"South"
"32226",32226,32226,"Block 275A, JURONG WEST ST 25, Singapore","HDB","JURONG WEST ST 25",28987,458800,"2021-10-01","Non",111,4133.333333,"Improved HDB",22,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,2002,79.33333333,"400k-500k","70-100",103.7038569,1.35401,"West"
"57692",57692,57692,"Block 491E, TAMPINES ST 45, Singapore","HDB","TAMPINES ST 45",75036,730000,"2023-01-01","Non",135,5407.407407,"Model A HDB",18,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,1993,69.58333333,"700k-800k","50-70",103.9577982,1.3591474,"East"
"50997",50997,50997,"Block 435C, FERNVALE RD, Singapore","HDB","FERNVALE RD",53723,568000,"2023-03-01","Non",94,6042.553191,"Premium Apartment HDB",19,"Outside Central Region","11 to 15","Public Housing",4,0,2,1,1,2013,89.33333333,"500k-600k","70-100",103.8761093,1.3938619,"North"
"117154",117154,117154,"RESIDENTIAL APARTMENTS, OUTRAM ROAD, Singapore","RESIDENTIAL APARTMENTS","OUTRAM ROAD",103103,1568800,"2022-04-01","Strata",62,25303,"Apartment",3,"Rest of Central Region","01 to 05","Apartment & Condo",1,0,1,1,1,NA,NA,"1.5m-2m",NA,103.819836,1.352083,"Central"
"55975",55975,55975,"Block 473B, UPP SERANGOON CRES, Singapore","HDB","UPP SERANGOON CRES",53092,565000,"2022-01-01","Non",93,6075.268817,"Model A HDB",19,"Outside Central Region","11 to 15","Public Housing",4,0,2,1,1,2017,94.5,"500k-600k","70-100",103.9005506,1.3773161,"East"
"133077",133077,133077,"THE TAPESTRY, TAMPINES STREET 86, Singapore","THE TAPESTRY","TAMPINES STREET 86",108106,1560000,"2023-11-01","Strata",92,16957,"Condominium",18,"Outside Central Region","06 to 10","Apartment & Condo",2,0,1,1,1,2017,92,"1.5m-2m","70-100",103.9293084,1.354048,"East"
"15399",15399,15399,"Block 155, YISHUN ST 11, Singapore","HDB","YISHUN ST 11",40564,508000,"2021-09-01","Non",121,4198.347107,"Improved HDB",27,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,1985,62.58333333,"500k-600k","50-70",103.8327938,1.4321708,"North"
"30881",30881,30881,"Block 268C, COMPASSVALE LINK, Singapore","HDB","COMPASSVALE LINK",61729,611888,"2022-06-01","Non",110,5562.618182,"Premium Apartment HDB",19,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,2006,82.75,"600k-700k","70-100",103.8951903,1.3835873,"East"
"113129",113129,113129,"PALM VISTA, LORONG G TELOK KURAU, Singapore","PALM VISTA","LORONG G TELOK KURAU",137574,1148000,"2022-03-01","Strata",80,14350,"Apartment",15,"Outside Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,NA,NA,"1m-1.25m",NA,103.819836,1.352083,"Central"
"128623",128623,128623,"THE HILLIER, HILLVIEW RISE, Singapore","THE HILLIER","HILLVIEW RISE",123088,758000,"2022-01-01","Strata",47,16128,"Apartment",23,"Outside Central Region","11 to 15","Apartment & Condo",1,0,1,1,1,2011,86,"700k-800k","70-100",103.7642313,1.3639081,"West"
"78894",78894,78894,"Block 722, YISHUN ST 71, Singapore","HDB","YISHUN ST 71",16224,390000,"2023-06-01","Non",64,6093.75,"Simplified HDB",27,"Outside Central Region","6 to 10","Public Housing",3,0,1,1,1,1987,63.25,"300k-400k","50-70",103.8295792,1.4271142,"North"
"32831",32831,32831,"Block 280, TAMPINES ST 22, Singapore","HDB","TAMPINES ST 22",22152,425000,"2023-07-01","Non",74,5743.243243,"Model A HDB",18,"Outside Central Region","1 to 5","Public Housing",3,0,1,1,1,1984,60,"400k-500k","50-70",103.9510797,1.3490889,"East"
"89576",89576,89576,"Block 945, HOUGANG ST 92, Singapore","HDB","HOUGANG ST 92",76624,750000,"2023-09-01","Non",120,6250,"Improved HDB",19,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,1998,74.16666667,"700k-800k","70-100",103.879975,1.3731277,"East"
"61708",61708,61708,"Block 524A, TAMPINES CTRL 7, Singapore","HDB","TAMPINES CTRL 7",57342,586000,"2022-04-01","Non",93,6301.075269,"Model A HDB",18,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,2015,92.41666667,"500k-600k","70-100",103.9400907,1.3581378,"East"
"43825",43825,43825,"Block 351A, ANCHORVALE RD, Singapore","HDB","ANCHORVALE RD",63326,622000,"2024-01-01","Non",92,6760.869565,"Model A HDB",19,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,2019,94.33333333,"600k-700k","70-100",103.8872437,1.3933007,"North"
"50283",50283,50283,"Block 43, CAMBRIDGE RD, Singapore","HDB","CAMBRIDGE RD",54386,570000,"2023-05-01","Non",91,6263.736264,"New Generation HDB",1,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1982,58.16666667,"500k-600k","50-70",103.8485505,1.3149686,"South"
"62782",62782,62782,"Block 535, ANG MO KIO AVE 5, Singapore","HDB","ANG MO KIO AVE 5",9002,350000,"2021-05-01","Non",81,4320.987654,"New Generation HDB",20,"Outside Central Region","1 to 5","Public Housing",3,0,1,1,1,1980,57.83333333,"300k-400k","50-70",103.8556196,1.3758877,"East"
"56936",56936,56936,"Block 484B, CHOA CHU KANG AVE 5, Singapore","HDB","CHOA CHU KANG AVE 5",60187,6e+05,"2024-03-01","Non",116,5172.413793,"Improved HDB",23,"Outside Central Region","11 to 15","Public Housing",3,0,2,1,1,1999,74.16666667,"600k-700k","70-100",103.739368,1.375558,"West"
"108452",108452,108452,"LIVIA, PASIR RIS GROVE, Singapore","LIVIA","PASIR RIS GROVE",128208,1530000,"2022-02-01","Strata",143,10699,"Condominium",18,"Outside Central Region","06 to 10","Apartment & Condo",4,0,2,1,1,2008,83,"1.5m-2m","70-100",103.9439115,1.3723997,"East"
"12995",12995,12995,"Block 137, YISHUN RING RD, Singapore","HDB","YISHUN RING RD",34920,480000,"2024-01-01","Non",93,5161.290323,"New Generation HDB",27,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1985,60,"400k-500k","50-70",103.8321027,1.4260651,"North"
"50854",50854,50854,"Block 434B, FERNVALE RD, Singapore","HDB","FERNVALE RD",65213,635000,"2024-02-01","Non",94,6755.319149,"Premium Apartment HDB",19,"Outside Central Region","16 to 20","Public Housing",4,0,2,1,1,2013,88.33333333,"600k-700k","70-100",103.8761093,1.3938619,"North"
"86606",86606,86606,"Block 871C, TAMPINES ST 86, Singapore","HDB","TAMPINES ST 86",53604,568000,"2021-11-01","Non",94,6042.553191,"Model A HDB",18,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,2017,94.25,"500k-600k","70-100",103.9291632,1.3529253,"East"
"5520",5520,5520,"Block 107, BEDOK NTH RD, Singapore","HDB","BEDOK NTH RD",13537,375000,"2023-09-01","Non",67,5597.014925,"New Generation HDB",16,"Outside Central Region","6 to 10","Public Housing",3,0,1,1,1,1977,52.91666667,"300k-400k","50-70",103.9305125,1.3306806,"East"
"45425",45425,45425,"Block 371, TAMPINES ST 34, Singapore","HDB","TAMPINES ST 34",36820,490000,"2022-01-01","Non",105,4666.666667,"Model A HDB",18,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1995,72.75,"400k-500k","70-100",103.9601044,1.3559296,"East"
"21972",21972,21972,"Block 203, SERANGOON CTRL, Singapore","HDB","SERANGOON CTRL",40334,505000,"2023-09-01","Non",64,7890.625,"Simplified HDB",12,"Rest of Central Region","6 to 10","Public Housing",3,0,1,1,1,1986,61.33333333,"500k-600k","50-70",103.8729808,1.3511396,"East"
"32683",32683,32683,"Block 28, GHIM MOH LINK, Singapore","HDB","GHIM MOH LINK",83868,9e+05,"2023-03-01","Non",92,9782.608696,"Model A HDB",3,"Rest of Central Region","31 to 35","Public Housing",4,0,2,1,1,2013,89.16666667,"900k-1m","70-100",103.7852125,1.3098426,"South"
"15330",15330,15330,"Block 155, ANG MO KIO AVE 4, Singapore","HDB","ANG MO KIO AVE 4",15665,388000,"2023-11-01","Non",68,5705.882353,"New Generation HDB",20,"Outside Central Region","6 to 10","Public Housing",3,0,1,1,1,1981,56.58333333,"300k-400k","50-70",103.839342,1.3762852,"Central"
"43181",43181,43181,"Block 345, CHOA CHU KANG LOOP, Singapore","HDB","CHOA CHU KANG LOOP",70460,680000,"2023-10-01","Non",124,5483.870968,"Improved HDB",23,"Outside Central Region","11 to 15","Public Housing",3,0,2,1,1,1993,68.66666667,"600k-700k","50-70",103.7454465,1.3845841,"West"
"120025",120025,120025,"SELETARIS, SEMBAWANG ROAD, Singapore","SELETARIS","SEMBAWANG ROAD",114283,1500000,"2023-07-01","Strata",128,11719,"Condominium",27,"Outside Central Region","01 to 05","Apartment & Condo",3,0,2,1,1,NA,NA,"1.5m-2m",NA,103.8251393,1.4358769,"North"
"95471",95471,95471,"CUBE 8, THOMSON ROAD, Singapore","CUBE 8","THOMSON ROAD",124479,2800000,"2023-08-01","Strata",132,21212,"Condominium",11,"Core Central Region","26 to 30","Apartment & Condo",3,0,2,1,1,NA,NA,"2.5m-3m",NA,103.8416184,1.3283058,"Central"
"32319",32319,32319,"Block 276, YISHUN ST 22, Singapore","HDB","YISHUN ST 22",17661,4e+05,"2022-04-01","Non",84,4761.904762,"Simplified HDB",27,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,1985,62.5,"400k-500k","50-70",103.8375152,1.4371181,"North"
"40564",40564,40564,"Block 325B, SENGKANG EAST WAY, Singapore","HDB","SENGKANG EAST WAY",19968,415000,"2022-02-01","Non",90,4611.111111,"Model A HDB",19,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,2003,80.25,"400k-500k","70-100",103.8966608,1.3922403,"North"
"32393",32393,32393,"Block 277, YISHUN ST 22, Singapore","HDB","YISHUN ST 22",63468,625000,"2021-04-01","Non",146,4280.821918,"Maisonette HDB",27,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,1985,63.41666667,"600k-700k","50-70",103.8375152,1.4371181,"North"
"133000",133000,133000,"THE TAMPINES TRILLIANT, TAMPINES CENTRAL 7, Singapore","THE TAMPINES TRILLIANT","TAMPINES CENTRAL 7",97786,1300000,"2021-07-01","Strata",105,12381,"Executive Condominium",18,"Outside Central Region","11 to 15","Executive Condo",2,0,1,1,1,2011,86,"1.25m-1.5m","70-100",103.9405651,1.3588232,"East"
"134475",134475,134475,"THE VERMONT ON CAIRNHILL, CAIRNHILL RISE, Singapore","THE VERMONT ON CAIRNHILL","CAIRNHILL RISE",134404,1910000,"2022-01-01","Strata",82,23293,"Apartment",9,"Core Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,NA,NA,"1.5m-2m",NA,103.8384426,1.308584,"South"
"33416",33416,33416,"Block 287B, COMPASSVALE CRES, Singapore","HDB","COMPASSVALE CRES",53288,565000,"2023-03-01","Non",93,6075.268817,"Premium Apartment HDB",19,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,2017,93.75,"500k-600k","70-100",103.8982054,1.3972429,"North"
"11310",11310,11310,"Block 128, PENDING RD, Singapore","HDB","PENDING RD",13594,375000,"2024-01-01","Non",73,5136.986301,"Model A HDB",23,"Outside Central Region","6 to 10","Public Housing",3,0,1,1,1,1988,63.5,"300k-400k","50-70",103.7710963,1.3762379,"West"
"511",511,511,"8 @ STRATTON, STRATTON GREEN, Singapore","8 @ STRATTON","STRATTON GREEN",101552,3230000,"2022-05-01","Strata",478,6757,"Semi-Detached House",28,"Outside Central Region","-","Strata",5,4,3,1,1,NA,NA,"3m-4m",NA,103.8649669,1.3826762,"East"
"68434",68434,68434,"Block 616, CHOA CHU KANG ST 62, Singapore","HDB","CHOA CHU KANG ST 62",48804,543000,"2021-07-01","Non",133,4082.706767,"Model A HDB",23,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,1996,74,"500k-600k","70-100",103.746659,1.39885,"North"
"44767",44767,44767,"Block 363A, SEMBAWANG CRES, Singapore","HDB","SEMBAWANG CRES",28975,458000,"2024-01-01","Non",68,6735.294118,"Model A HDB",27,"Outside Central Region","6 to 10","Public Housing",3,0,1,1,1,2019,94.41666667,"400k-500k","70-100",103.8167763,1.4447069,"North"
"105509",105509,105509,"LAGUNA PARK, MARINE PARADE ROAD, Singapore","LAGUNA PARK","MARINE PARADE ROAD",110982,1780000,"2022-06-01","Strata",150,11867,"Apartment",15,"Outside Central Region","11 to 15","Apartment & Condo",4,0,2,1,1,1977,52,"1.5m-2m","50-70",103.9311249,1.3090129,"East"
"96932",96932,96932,"EAST COAST HILL, SENNETT AVENUE, Singapore","EAST COAST HILL","SENNETT AVENUE",92487,3500000,"2021-08-01","Land",179.8,19466,"Terrace House",16,"Outside Central Region","-","Landed",4,0,2,1,1,NA,NA,"3m-4m",NA,103.819836,1.352083,"Central"
"135547",135547,135547,"THREE BUCKLEY, BUCKLEY ROAD, Singapore","THREE BUCKLEY","BUCKLEY ROAD",139881,3550000,"2021-09-01","Strata",220,16136,"Apartment",11,"Core Central Region","01 to 05","Apartment & Condo",5,0,3,1,1,NA,NA,"3m-4m",NA,103.8398562,1.3170825,"South"
"33625",33625,33625,"Block 288B, PUNGGOL PL, Singapore","HDB","PUNGGOL PL",72437,7e+05,"2023-06-01","Non",97,7216.494845,"Premium Apartment HDB",19,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,2013,88.83333333,"700k-800k","70-100",103.9030684,1.4030918,"North"
"139447",139447,139447,"WHISTLER GRAND, WEST COAST VALE, Singapore","WHISTLER GRAND","WEST COAST VALE",105352,1880000,"2023-10-01","Strata",92,20435,"Apartment",5,"Outside Central Region","31 to 35","Apartment & Condo",2,0,1,1,1,2018,93,"1.5m-2m","70-100",103.7537108,1.319422,"South"
"35936",35936,35936,"Block 301, CLEMENTI AVE 4, Singapore","HDB","CLEMENTI AVE 4",48215,540000,"2022-07-01","Non",92,5869.565217,"New Generation HDB",5,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,1979,55.75,"500k-600k","50-70",103.7660987,1.3186409,"South"
"5147",5147,5147,"Block 105, PASIR RIS ST 12, Singapore","HDB","PASIR RIS ST 12",19874,415000,"2021-08-01","Non",108,3842.592593,"Model A HDB",18,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1989,66.58333333,"400k-500k","50-70",103.9587452,1.3666166,"East"
"98416",98416,98416,"EON SHENTON, SHENTON WAY, Singapore","EON SHENTON","SHENTON WAY",126083,1333000,"2023-07-01","Strata",50,26660,"Apartment",2,"Core Central Region","26 to 30","Apartment & Condo",1,0,1,1,1,2011,86,"1.25m-1.5m","70-100",103.846216,1.2739069,"South"
"4689",4689,4689,"Block 103, SERANGOON NTH AVE 1, Singapore","HDB","SERANGOON NTH AVE 1",19677,412888,"2022-06-01","Non",91,4537.230769,"New Generation HDB",12,"Rest of Central Region","1 to 5","Public Housing",4,0,2,1,1,1985,62.25,"400k-500k","50-70",103.8723348,1.3644344,"East"
"44835",44835,44835,"Block 364B, UPP SERANGOON RD, Singapore","HDB","UPP SERANGOON RD",62808,620000,"2022-01-01","Non",92,6739.130435,"Model A HDB",19,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,2018,95,"600k-700k","70-100",103.8824703,1.3576474,"East"
"36212",36212,36212,"Block 302C, PUNGGOL PL, Singapore","HDB","PUNGGOL PL",28186,455000,"2021-09-01","Non",93,4892.473118,"Premium Apartment HDB",19,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,2011,88.58333333,"400k-500k","70-100",103.9030684,1.4030918,"North"
"45581",45581,45581,"Block 377, BT BATOK ST 31, Singapore","HDB","BT BATOK ST 31",37111,490000,"2023-06-01","Non",67,7313.432836,"Model A HDB",23,"Outside Central Region","6 to 10","Public Housing",3,0,1,1,1,2019,94.91666667,"400k-500k","70-100",103.749039,1.3581686,"West"
"127023",127023,127023,"THE CLEMENT CANOPY, CLEMENTI AVENUE 1, Singapore","THE CLEMENT CANOPY","CLEMENTI AVENUE 1",120940,1095000,"2022-07-01","Strata",61,17951,"Apartment",5,"Outside Central Region","11 to 15","Apartment & Condo",1,0,1,1,1,2016,91,"1m-1.25m","70-100",103.7686049,1.3072306,"South"
"59586",59586,59586,"Block 508, SERANGOON NTH AVE 4, Singapore","HDB","SERANGOON NTH AVE 4",69853,677000,"2021-11-01","Non",121,5595.041322,"Improved HDB",12,"Rest of Central Region","6 to 10","Public Housing",3,0,2,1,1,1997,74.58333333,"600k-700k","70-100",103.8722146,1.3646819,"East"
"99379",99379,99379,"FLORAVIEW, ANG MO KIO STREET 66, Singapore","FLORAVIEW","ANG MO KIO STREET 66",138633,910000,"2022-07-01","Strata",67,13582,"Apartment",20,"Outside Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,NA,NA,"900k-1m",NA,103.8505798,1.3917673,"North"
"113971",113971,113971,"PARC RIVIERA, WEST COAST VALE, Singapore","PARC RIVIERA","WEST COAST VALE",103734,680000,"2021-10-01","Strata",43,15814,"Condominium",5,"Outside Central Region","06 to 10","Apartment & Condo",1,0,1,1,1,2015,90,"600k-700k","70-100",103.7530877,1.320699,"West"
"72760",72760,72760,"Block 662, BUFFALO RD, Singapore","HDB","BUFFALO RD",54936,575000,"2021-11-01","Non",91,6318.681319,"Improved HDB",1,"Core Central Region","21 to 25","Public Housing",4,0,2,1,1,1982,59.58333333,"500k-600k","50-70",103.8507191,1.3067427,"East"
"23674",23674,23674,"Block 212, ANG MO KIO AVE 3, Singapore","HDB","ANG MO KIO AVE 3",13075,373000,"2021-02-01","Non",81,4604.938272,"New Generation HDB",20,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,1977,55.25,"300k-400k","50-70",103.8572732,1.3690195,"East"
"9803",9803,9803,"Block 121, TECK WHYE LANE, Singapore","HDB","TECK WHYE LANE",28347,455000,"2022-05-01","Non",104,4375,"Model A HDB",23,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,1989,66,"400k-500k","50-70",103.7526191,1.3788984,"West"
"41755",41755,41755,"Block 333D, ANCHORVALE LINK, Singapore","HDB","ANCHORVALE LINK",41732,511000,"2021-03-01","Non",92,5554.347826,"Model A HDB",19,"Outside Central Region","11 to 15","Public Housing",4,0,2,1,1,2015,93.33333333,"500k-600k","70-100",103.8900824,1.3921549,"North"
"45518",45518,45518,"Block 374, TAMPINES ST 34, Singapore","HDB","TAMPINES ST 34",68700,665000,"2022-05-01","Non",126,5277.777778,"Improved HDB",18,"Outside Central Region","6 to 10","Public Housing",3,0,2,1,1,1995,72.41666667,"600k-700k","70-100",103.9601044,1.3559296,"East"
"67269",67269,67269,"Block 604, WOODLANDS DR 42, Singapore","HDB","WOODLANDS DR 42",24056,435000,"2022-07-01","Non",92,4728.26087,"Model A2 HDB",25,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1997,73.91666667,"400k-500k","70-100",103.7968163,1.4369712,"North"
"88948",88948,88948,"Block 924, HOUGANG AVE 9, Singapore","HDB","HOUGANG AVE 9",51956,560000,"2021-04-01","Non",120,4666.666667,"Improved HDB",19,"Outside Central Region","11 to 15","Public Housing",3,0,2,1,1,1998,76.5,"500k-600k","70-100",103.8810633,1.3750117,"East"
"82711",82711,82711,"Block 802B, KEAT HONG CL, Singapore","HDB","KEAT HONG CL",30584,465000,"2022-01-01","Non",92,5054.347826,"Model A HDB",23,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,2018,95.16666667,"400k-500k","70-100",103.7425722,1.3744652,"West"
"108250",108250,108250,"LIGHTHOUSE, JALAN LOYANG BESAR, Singapore","LIGHTHOUSE","JALAN LOYANG BESAR",104130,1160000,"2022-09-01","Strata",111,10450,"Condominium",17,"Outside Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,1993,68,"1m-1.25m","50-70",103.7969652,1.3041563,"South"
"79569",79569,79569,"Block 739, WOODLANDS CIRCLE, Singapore","HDB","WOODLANDS CIRCLE",29943,460000,"2023-11-01","Non",91,5054.945055,"Model A2 HDB",25,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1997,72.83333333,"400k-500k","70-100",103.798085,1.4444853,"North"
"28383",28383,28383,"Block 246, YISHUN AVE 9, Singapore","HDB","YISHUN AVE 9",22154,425000,"2023-07-01","Non",84,5059.52381,"Simplified HDB",27,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1985,60.83333333,"400k-500k","50-70",103.8418408,1.4338825,"North"
"45787",45787,45787,"Block 388, BT BATOK WEST AVE 5, Singapore","HDB","BT BATOK WEST AVE 5",55458,578000,"2021-09-01","Non",110,5254.545455,"Improved HDB",23,"Outside Central Region","16 to 20","Public Housing",3,0,2,1,1,2005,82.41666667,"500k-600k","70-100",103.7422731,1.3587224,"West"
"123253",123253,123253,"SPRINGDALE CONDOMINIUM, HINDHEDE WALK, Singapore","SPRINGDALE CONDOMINIUM","HINDHEDE WALK",131926,2015000,"2023-06-01","Strata",125,16120,"Condominium",21,"Outside Central Region","01 to 05","Apartment & Condo",3,0,2,1,1,1877,852,"2m-2.5m","100+",103.771774,1.3483945,"West"
"109420",109420,109420,"MARINA ONE RESIDENCES, MARINA WAY, Singapore","MARINA ONE RESIDENCES","MARINA WAY",121563,3930622,"2022-05-01","Strata",140,28076,"Apartment",1,"Core Central Region","26 to 30","Apartment & Condo",4,0,2,1,1,2011,86,"3m-4m","70-100",103.853187,1.2767662,"East"
"35300",35300,35300,"Block 298C, COMPASSVALE ST, Singapore","HDB","COMPASSVALE ST",30324,464000,"2022-08-01","Non",94,4936.170213,"Premium Apartment HDB",19,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,2001,78,"400k-500k","70-100",103.8980618,1.3951499,"North"
"87535",87535,87535,"Block 890B, WOODLANDS DR 50, Singapore","HDB","WOODLANDS DR 50",58597,594000,"2024-01-01","Non",93,6387.096774,"Model A HDB",25,"Outside Central Region","11 to 15","Public Housing",4,0,2,1,1,2017,92.58333333,"500k-600k","70-100",103.7935814,1.4370612,"North"
"59569",59569,59569,"Block 508, JELAPANG RD, Singapore","HDB","JELAPANG RD",30271,463000,"2023-01-01","Non",90,5144.444444,"Model A2 HDB",23,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,1998,74.41666667,"400k-500k","70-100",103.7672353,1.3859416,"West"
"84066",84066,84066,"Block 813A, YISHUN RING RD, Singapore","HDB","YISHUN RING RD",35204,483800,"2023-03-01","Non",67,7220.895522,"Model A HDB",27,"Outside Central Region","6 to 10","Public Housing",3,0,1,1,1,2018,94.16666667,"400k-500k","70-100",103.8321027,1.4260651,"North"
"80956",80956,80956,"Block 770, CHOA CHU KANG ST 54, Singapore","HDB","CHOA CHU KANG ST 54",41609,510000,"2023-10-01","Non",106,4811.320755,"Model A HDB",23,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,1996,72,"500k-600k","70-100",103.7490301,1.3947917,"North"
"98346",98346,98346,"EMILY RESIDENCE, MOUNT EMILY ROAD, Singapore","EMILY RESIDENCE","MOUNT EMILY ROAD",139972,9e+05,"2021-08-01","Strata",51,17647,"Apartment",9,"Core Central Region","01 to 05","Apartment & Condo",1,0,1,1,1,NA,NA,"900k-1m",NA,103.849238,1.3040703,"South"
"116240",116240,116240,"QUESTA @ DUNMAN, DUNMAN ROAD, Singapore","QUESTA @ DUNMAN","DUNMAN ROAD",125710,1420000,"2023-03-01","Strata",80,17750,"Apartment",15,"Rest of Central Region","01 to 05","Apartment & Condo",2,0,1,1,1,NA,NA,"1.25m-1.5m",NA,103.8966328,1.3098261,"East"
"54812",54812,54812,"Block 466C, SEMBAWANG DR, Singapore","HDB","SEMBAWANG DR",37809,495000,"2022-05-01","Non",90,5500,"Premium Apartment HDB",27,"Outside Central Region","16 to 20","Public Housing",4,0,2,1,1,2006,82.83333333,"400k-500k","70-100",103.8168923,1.4525413,"North"
"105279",105279,105279,"LA FIESTA, SENGKANG SQUARE, Singapore","LA FIESTA","SENGKANG SQUARE",112895,1510000,"2023-10-01","Strata",93,16237,"Condominium",19,"Outside Central Region","06 to 10","Apartment & Condo",2,0,1,1,1,2012,87,"1.5m-2m","70-100",103.8956019,1.390141,"North"
"43526",43526,43526,"Block 349, BT BATOK ST 34, Singapore","HDB","BT BATOK ST 34",17643,4e+05,"2022-04-01","Non",84,4761.904762,"Simplified HDB",23,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,1987,63.83333333,"400k-500k","50-70",103.7499928,1.3637652,"West"
