"","X.2","X.1","Address","Project.Name","Street.Name","X","Resale.Price","Sale.Month","Type.of.Area","Area.in.SQM","Unit.Price.in.PSM","Property.Type","Postal.District","Market.Segment","Floor.Level","Type.of.Housing","No.of.Bedrooms","No.of.Multi.Purpose.Room","No.of.Bathrooms","No.of.Kitchens","No.of.Living.Rooms","Lease.Commence.Year","Remaining.Lease.in.Years","Resale_Price_Category","Remaining_Lease_Category","lon","lat","location"
"124412",124412,124412,"SUMMERDALE, BOON LAY DRIVE, Singapore","SUMMERDALE","BOON LAY DRIVE",99007,1800000,"2023-11-01","Strata",188,9574,"Executive Condominium",22,"Outside Central Region","11 to 15","Executive Condo",5,0,3,1,1,1997,72,"1.5m-2m","70-100",103.819836,1.352083,"Central"
"37454",37454,37454,"Block 31, BALAM RD, Singapore","HDB","BALAM RD",57560,588000,"2023-01-01","Non",92,6391.304348,"New Generation HDB",14,"Rest of Central Region","6 to 10","Public Housing",4,0,2,1,1,1985,61.33333333,"500k-600k","50-70",103.8865832,1.3298887,"East"
"90899",90899,90899,"Block 998A, BUANGKOK CRES, Singapore","HDB","BUANGKOK CRES",30926,465000,"2024-01-01","Non",68,6838.235294,"Model A HDB",19,"Outside Central Region","6 to 10","Public Housing",3,0,1,1,1,2019,94.91666667,"400k-500k","70-100",103.8806254,1.3838642,"East"
"40446",40446,40446,"Block 324C, SENGKANG EAST WAY, Singapore","HDB","SENGKANG EAST WAY",69753,675000,"2023-05-01","Non",125,5400,"Apartment HDB",19,"Outside Central Region","1 to 5","Public Housing",3,0,2,1,1,2002,78,"600k-700k","70-100",103.8966608,1.3922403,"North"
"92215",92215,92215,"CAPE ROYALE, COVE WAY, Singapore","CAPE ROYALE","COVE WAY",117209,3670800,"2022-09-01","Strata",156,23531,"Condominium",4,"Core Central Region","11 to 15","Apartment & Condo",4,0,2,1,1,2008,83,"3m-4m","70-100",103.8401587,1.2416267,"South"
"79200",79200,79200,"Block 729, WOODLANDS CIRCLE, Singapore","HDB","WOODLANDS CIRCLE",23943,435000,"2021-12-01","Non",100,4350,"Model A2 HDB",25,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,1997,75,"400k-500k","70-100",103.798085,1.4444853,"North"
"24309",24309,24309,"Block 216, PASIR RIS ST 21, Singapore","HDB","PASIR RIS ST 21",38421,499000,"2022-03-01","Non",106,4707.54717,"Model A HDB",18,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,1993,70.41666667,"400k-500k","70-100",103.9623767,1.3680634,"East"
"42468",42468,42468,"Block 338A, TAH CHING RD, Singapore","HDB","TAH CHING RD",34067,480000,"2021-08-01","Non",94,5106.382979,"Model A HDB",22,"Outside Central Region","6 to 10","Public Housing",4,0,2,1,1,2010,87.75,"400k-500k","70-100",103.7230735,1.3375173,"West"
"45556",45556,45556,"Block 376A, HOUGANG ST 32, Singapore","HDB","HOUGANG ST 32",63716,625000,"2023-10-01","Non",92,6793.478261,"Model A HDB",19,"Outside Central Region","1 to 5","Public Housing",4,0,2,1,1,2016,91.5,"600k-700k","70-100",103.8941426,1.3632819,"East"
"66862",66862,66862,"Block 60, TELOK BLANGAH HTS, Singapore","HDB","TELOK BLANGAH HTS",9091,350000,"2021-09-01","Non",67,5223.880597,"New Generation HDB",3,"Rest of Central Region","1 to 5","Public Housing",3,0,1,1,1,1976,54,"300k-400k","50-70",103.8114559,1.2766698,"South"
